 ,Mean1,Mean2,Mean3,Mean4
572,0.135,0.455,1.780,0.371
573,0.244,0.073,0.493,0.719
574,0.382,0.765,0.351,0.441
575,0.493,0.131,0.000,0.168
576,0.252,0.111,0.000,0.000
577,0.332,1.000,0.356,0.357
578,0.331,0.714,0.000,0.674
579,0.332,0.532,1.688,0.367
580,0.797,0.058,0.361,0.376
581,0.474,0.000,0.000,0.500
582,0.581,0.576,0.000,0.462
583,0.474,0.129,0.478,0.138
584,0.320,0.070,0.468,0.548
585,0.391,0.262,0.000,0.027
586,0.289,0.468,0.000,0.265
587,0.340,0.540,0.000,0.715
588,0.436,0.279,0.902,0.864
589,0.600,0.167,0.951,0.057
590,0.223,1.405,0.888,0.674
591,0.545,0.467,0.298,0.832
592,0.503,1.135,0.215,0.095
593,0.609,0.462,0.385,0.491
594,0.507,0.118,0.141,0.487
595,0.241,0.000,1.029,0.796
596,0.421,0.094,0.005,0.170
597,0.488,0.514,0.141,0.618
598,0.522,0.395,1.785,0.588
599,0.444,0.060,0.424,0.482
600,0.285,0.407,0.000,0.841
601,0.369,0.567,0.000,0.237
602,0.767,0.271,0.029,0.194
603,0.894,0.000,1.210,0.435
604,0.252,0.128,2.902,0.577
605,0.577,0.927,0.000,0.688
606,0.819,0.421,0.678,0.986
607,0.514,0.148,0.371,0.120
608,0.416,0.489,0.000,0.860
609,0.355,0.739,0.859,0.115
610,0.299,0.453,0.190,0.948
611,0.319,0.174,0.351,0.161
612,0.359,0.000,0.654,0.027
613,0.480,0.026,0.668,0.353
614,0.207,0.698,0.000,0.785
615,0.526,0.397,0.590,0.088
616,0.859,1.145,0.000,0.000
617,0.738,0.784,0.888,0.848
618,0.114,0.325,0.083,0.244
619,0.464,0.526,1.166,0.138
620,0.692,1.049,0.000,0.464
621,0.751,0.327,0.000,0.000
622,0.374,0.758,0.322,0.186
623,0.438,0.000,0.000,0.095
624,0.543,0.324,0.298,0.529
625,0.548,1.162,0.000,0.140
626,0.200,0.809,2.098,0.254
627,0.512,0.147,0.000,0.556
628,0.278,0.261,2.820,0.118
629,0.753,1.922,0.512,0.717
630,0.592,0.397,0.000,0.000
631,0.219,0.119,0.654,0.403
632,0.526,0.000,0.117,0.306
633,0.307,0.104,1.244,0.072
634,0.312,0.491,0.239,0.215
635,0.593,0.348,1.107,1.079
636,0.566,0.392,0.161,0.217
637,0.466,1.175,0.522,0.703
638,0.701,0.000,0.946,0.109
639,0.243,0.905,0.546,0.000
640,0.509,1.070,0.288,1.480
641,0.687,0.303,0.185,0.054
642,0.432,0.663,1.020,0.394
643,0.436,0.273,0.283,0.215
644,0.611,0.034,1.029,0.697
645,0.414,0.233,1.512,1.242
646,0.332,0.049,0.000,0.039
647,0.469,0.225,0.873,1.009
648,0.452,0.000,0.220,0.113
649,0.298,0.470,1.044,0.081
650,0.253,0.535,1.259,0.197
651,0.461,0.133,0.000,0.172
652,0.288,0.399,0.000,0.875
653,0.120,0.460,0.546,0.523
654,0.341,0.129,0.239,0.269
655,0.503,0.000,0.000,0.862
656,0.297,0.629,0.483,0.355
657,0.389,0.256,0.000,0.536
658,0.393,0.574,0.766,0.713
659,0.379,0.223,0.054,0.530
660,0.465,0.274,0.346,0.462
661,0.537,0.099,0.000,0.156
662,0.361,0.211,0.366,0.591
663,93.854,63.877,41.873,39.511
664,99.167,67.438,31.980,41.916
665,82.945,59.492,33.166,45.190
666,92.558,72.715,31.795,37.409
667,87.123,64.579,29.127,53.762
668,81.614,63.768,45.678,48.038
669,87.391,56.606,29.688,47.952
670,82.077,57.816,20.673,43.050
671,80.444,48.591,30.029,38.892
672,79.312,55.760,32.600,48.109
673,78.430,46.997,32.590,45.817
674,76.672,61.663,32.761,41.443
675,83.432,61.693,29.088,32.656
676,81.900,66.664,33.732,46.369
677,85.659,64.322,28.888,33.966
678,84.171,64.864,29.400,41.602
679,91.893,60.804,27.337,39.136
680,84.189,62.848,24.312,47.753
681,83.191,59.077,20.951,42.871
682,82.704,64.281,27.863,37.695
683,81.967,67.826,27.859,43.032
684,82.259,68.825,35.756,46.183
685,83.851,68.015,28.537,40.203
686,76.621,65.562,28.576,44.568
687,83.967,63.378,31.132,33.937
688,76.770,73.143,30.854,39.280
689,79.885,67.705,27.629,32.023
690,82.583,74.102,29.839,32.586
691,77.661,61.589,25.712,36.826
692,71.691,73.543,28.439,45.987
693,73.922,62.661,28.429,42.102
694,84.175,67.738,37.259,35.588
695,85.782,65.688,30.912,38.312
696,80.062,69.973,32.039,37.161
697,82.998,64.893,31.346,41.708
698,86.680,53.906,29.639,35.977
699,84.690,68.225,35.971,41.358
700,91.844,61.194,31.922,39.849
701,93.651,61.939,27.405,40.217
702,95.253,67.167,38.673,34.025
703,87.403,67.123,36.746,46.332
704,96.145,70.453,24.498,39.634
705,93.102,71.397,35.088,49.550
706,94.069,77.775,35.556,36.385
707,96.735,69.060,31.546,43.246
708,86.380,72.940,34.902,43.306
709,86.680,79.695,31.376,36.826
710,84.037,62.504,35.966,44.495
711,94.242,66.022,35.493,41.122
712,94.211,68.978,33.746,49.477
713,90.158,61.659,36.234,40.371
714,94.757,55.278,36.927,38.715
715,102.290,59.877,44.073,50.579
716,105.819,67.022,43.420,45.016
717,99.348,69.668,36.156,48.154
718,112.243,68.048,31.566,48.443
719,110.756,65.032,37.449,50.733
720,117.909,66.450,39.278,51.527
721,116.369,74.193,32.937,43.459
722,123.693,56.482,45.263,43.280
723,115.834,73.503,39.624,56.267
724,118.431,65.290,35.332,42.224
725,118.599,66.692,44.312,40.738
726,118.269,66.193,47.098,40.120
727,121.488,73.860,41.454,40.659
728,125.788,72.492,54.366,39.720
729,117.681,63.983,43.746,46.455
730,118.853,78.463,40.039,45.195
731,112.948,65.112,36.771,48.699
732,111.817,65.622,51.054,43.392
733,114.189,65.760,41.346,49.885
734,110.114,66.324,43.824,42.229
735,105.139,68.182,34.971,35.453
736,102.679,58.324,41.049,47.792
737,104.119,67.886,39.254,36.016
738,110.694,67.845,49.307,34.817
739,105.690,60.462,45.127,42.500
740,101.223,70.112,23.576,40.430
741,103.388,66.029,41.644,34.204
742,102.856,65.041,52.420,35.529
743,106.161,60.632,37.722,46.649
744,109.509,64.833,31.483,38.176
745,117.344,63.852,35.585,41.536
746,122.762,60.644,46.000,46.753
747,120.398,59.131,56.337,55.063
748,124.742,63.414,35.854,46.953
749,132.888,66.220,35.727,47.375
750,138.320,75.046,39.459,48.188
751,130.088,73.160,40.576,38.633
752,130.659,73.421,27.029,60.283
753,136.974,72.436,39.551,54.819
754,147.082,68.404,26.088,49.002
755,131.643,73.744,63.317,52.959
756,142.606,84.376,39.795,61.097
757,140.118,76.668,54.922,72.581
758,139.528,64.988,48.610,63.896
759,152.334,70.688,46.678,49.330
760,148.006,74.598,62.180,67.072
761,138.360,67.618,46.512,69.901
762,141.842,66.562,41.976,49.084
763,145.152,80.295,56.263,62.056
764,145.727,63.957,43.156,55.158
765,124.301,76.434,46.200,58.514
766,135.181,66.421,52.737,54.167
767,147.064,61.727,48.785,38.030
768,135.082,68.092,53.205,46.894
769,127.312,62.056,48.839,56.946
770,141.348,66.228,48.688,38.679
771,140.113,62.591,45.385,41.480
